"filename", "language", "C++", "Dart", "Markdown", "YAML", "Swift", "JSON", "Properties", "Groovy", "XML", "HTML", "comment", "blank", "total"
"d:\Flutter\practice\client project\ecommerce_user\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"d:\Flutter\practice\client project\ecommerce_user\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 1, 69
"d:\Flutter\practice\client project\ecommerce_user\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 1, 344
"d:\Flutter\practice\client project\ecommerce_user\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"d:\Flutter\practice\client project\ecommerce_user\pubspec.yaml", "YAML", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 57, 16, 101
"d:\Flutter\practice\client project\ecommerce_user\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 7, 31
"d:\Flutter\practice\client project\ecommerce_user\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 16, 6, 60
"d:\Flutter\practice\client project\ecommerce_user\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 1, 36
"d:\Flutter\practice\client project\ecommerce_user\windows\flutter\generated_plugin_registrant.cc", "C++", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 21
"d:\Flutter\practice\client project\ecommerce_user\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\Flutter\practice\client project\ecommerce_user\windows\runner\flutter_window.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"d:\Flutter\practice\client project\ecommerce_user\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"d:\Flutter\practice\client project\ecommerce_user\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"d:\Flutter\practice\client project\ecommerce_user\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"d:\Flutter\practice\client project\ecommerce_user\windows\runner\utils.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"d:\Flutter\practice\client project\ecommerce_user\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"d:\Flutter\practice\client project\ecommerce_user\windows\runner\win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"d:\Flutter\practice\client project\ecommerce_user\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 540, 3058, 13, 31, 58, 303, 8, 96, 463, 38, 512, 762, 5882
